grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1025,-12.0021,-64.9938,high_flow_river,61511,24889,100.0,"['VNIR', 'Altimeter']",f90f57a4-eb95-4752-a0e2-e12d9e11fbed
1,1573,60.0271,-111.8938,high_flow_river,62147,24253,3.9,"['VNIR', 'Altimeter']",398e76bc-b76b-4750-8e9e-40adb19458c5
1,1403,45.5437,-86.0021,high_flow_river,63400,23000,2.3,"['VNIR', 'Altimeter']",40499c6d-8dd6-40c6-8891-e5e85149512d
1,1578,65.9771,-144.1938,high_flow_river,63679,22721,100.0,"['VNIR', 'Altimeter']",45d1f537-945f-4acf-8b5b-d1181f4c847e
1,1645,52.0062,47.3354,high_flow_river,65928,20472,32.7,"['VNIR', 'Altimeter']",47bbe2a9-5e09-479a-97ca-131e1e1f351d
1,1684,67.5729,-133.9646,high_flow_river,66106,20294,33.9,"['VNIR', 'Altimeter']",f9e5d2f4-5b9e-4715-8cc9-bec1c72ab285
1,1190,53.5521,14.6104,high_flow_river,66380,20020,82.4,"['VNIR', 'Altimeter']",28cb7b4e-53b4-44aa-924c-b5c14cada478
1,1577,65.6646,-149.9979,high_flow_river,66548,19852,1.9,"['VNIR', 'Altimeter']",e3c57e71-5038-459e-affc-75bb430bd733
1,1029,-12.0354,-43.3104,high_flow_river,66838,19562,18.5,"['VNIR', 'Altimeter']",793874d5-fd24-4271-9960-18e3bf0cf83e
1,1526,58.1187,94.0021,high_flow_river,67333,19067,1.2,"['VNIR', 'Altimeter']",3dbb4db3-5d79-4fbe-be7a-6bf0f181044a
1,1576,64.7396,-155.8771,high_flow_river,67466,18934,43.1,"['VNIR', 'Altimeter']",850191cb-6353-49e4-9189-d84e771246d3
1,1652,49.9937,105.6771,high_flow_river,70584,15816,87.6,"['VNIR', 'Altimeter']",ce9c89b5-3b3e-46a8-a06c-f610e474ac4f
1,1524,59.9771,90.6687,high_flow_river,73879,12521,0.4,"['VNIR', 'Altimeter']",a5552884-1651-4483-9d97-49069179a571
