Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_abridged,in_full,calcBoundsOpt
151,DP,None,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
152,DP,None,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
153,DP,None,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
154,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
155,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
156,DP,None,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
157,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
158,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
159,DP,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
160,DP,None,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
161,DP,None,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
162,DP,None,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
163,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
164,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
165,None,CBBA,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
166,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
167,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
168,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
169,None,CBBA,GS,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
170,None,CBBA,GS,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
171,None,CBBA,GS,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
172,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
173,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
174,None,CBBA,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
175,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
176,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
177,None,CBBA,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
178,None,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
179,None,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
180,None,CBBA,Interconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
181,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,0
182,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,0
183,None,CBBA,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,0
184,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,0
185,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,0
186,None,CBBA,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,0
187,None,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-05-15,False,True,0
188,None,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-08-10,False,True,0
189,None,CBBA,Intraconstellation,Comprehensive,Instant,Walker-Delta,2019-11-10,False,True,0
