Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_abridged,in_year_2019,calcBoundsOpt
124,None,CBBA,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
125,None,CBBA,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
126,None,CBBA,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
127,None,CBBA,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
128,None,CBBA,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
129,None,CBBA,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
130,None,CBBA,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
131,None,CBBA,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
132,None,CBBA,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
133,None,CBBA,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
134,None,CBBA,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,0
135,None,CBBA,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
136,None,CBBA,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
137,None,CBBA,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,0
138,None,Greedy,GS,Co-observations,Ground,2019-02-15,False,True,True,0
139,None,Greedy,GS,Co-observations,Onboard,2019-02-15,False,True,True,0
140,None,Greedy,GS,Revisits,Ground,2019-02-15,False,True,True,0
141,None,Greedy,GS,Revisits,Onboard,2019-02-15,False,True,True,0
142,None,Greedy,GS,Urgency,Ground,2019-02-15,False,True,True,0
143,None,Greedy,GS,Urgency,Onboard,2019-02-15,False,True,True,0
144,None,Greedy,Interconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
145,None,Greedy,Interconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
146,None,Greedy,Interconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
147,None,Greedy,Interconstellation,Revisits,Ground,2019-02-15,False,True,True,0
148,None,Greedy,Interconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
149,None,Greedy,Interconstellation,Revisits,Instant,2019-02-15,False,True,True,0
150,None,Greedy,Interconstellation,Urgency,Ground,2019-02-15,False,True,True,0
151,None,Greedy,Interconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
152,None,Greedy,Interconstellation,Urgency,Instant,2019-02-15,False,True,True,0
153,None,Greedy,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,0
154,None,Greedy,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,0
155,None,Greedy,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,0
156,None,Greedy,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,0
157,None,Greedy,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,0
158,None,Greedy,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,2
159,None,Greedy,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,0
160,None,Greedy,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,0
161,None,Greedy,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,2
162,None,None,GS,Co-observations,Ground,2019-02-15,False,True,True,2
163,Centralized-MILP_priority,None,GS,Co-observations,Ground,2019-05-15,False,False,True,0
164,Centralized-MILP_priority,None,GS,Co-observations,Ground,2019-08-10,False,False,True,0
165,Centralized-MILP_priority,None,GS,Co-observations,Ground,2019-11-10,False,False,True,0
166,Centralized-MILP_priority,None,GS,Co-observations,Onboard,2019-05-15,False,False,True,0
167,Centralized-MILP_priority,None,GS,Co-observations,Onboard,2019-08-10,False,False,True,0
168,Centralized-MILP_priority,None,GS,Co-observations,Onboard,2019-11-10,False,False,True,0
169,Centralized-MILP_priority,None,GS,Co-observations,Instant,2019-05-15,False,False,True,0
170,Centralized-MILP_priority,None,GS,Co-observations,Instant,2019-08-10,False,False,True,0
171,Centralized-MILP_priority,None,GS,Co-observations,Instant,2019-11-10,False,False,True,0
172,Centralized-MILP_priority,None,GS,Revisits,Ground,2019-05-15,False,False,True,0
173,Centralized-MILP_priority,None,GS,Revisits,Ground,2019-08-10,False,False,True,0
174,Centralized-MILP_priority,None,GS,Revisits,Ground,2019-11-10,False,False,True,0
175,Centralized-MILP_priority,None,GS,Revisits,Onboard,2019-05-15,False,False,True,0
176,Centralized-MILP_priority,None,GS,Revisits,Onboard,2019-08-10,False,False,True,0
177,Centralized-MILP_priority,None,GS,Revisits,Onboard,2019-11-10,False,False,True,0
178,Centralized-MILP_priority,None,GS,Revisits,Instant,2019-05-15,False,False,True,0
179,Centralized-MILP_priority,None,GS,Revisits,Instant,2019-08-10,False,False,True,0
180,Centralized-MILP_priority,None,GS,Revisits,Instant,2019-11-10,False,False,True,0
181,Centralized-MILP_priority,None,GS,Urgency,Ground,2019-05-15,False,False,True,0
182,Centralized-MILP_priority,None,GS,Urgency,Ground,2019-08-10,False,False,True,0
183,Centralized-MILP_priority,None,GS,Urgency,Ground,2019-11-10,False,False,True,0
184,Centralized-MILP_priority,None,GS,Urgency,Onboard,2019-05-15,False,False,True,0
185,Centralized-MILP_priority,None,GS,Urgency,Onboard,2019-08-10,False,False,True,0
186,Centralized-MILP_priority,None,GS,Urgency,Onboard,2019-11-10,False,False,True,0
187,Centralized-MILP_priority,None,GS,Urgency,Instant,2019-05-15,False,False,True,0
188,Centralized-MILP_priority,None,GS,Urgency,Instant,2019-08-10,False,False,True,0
189,Centralized-MILP_priority,None,GS,Urgency,Instant,2019-11-10,False,False,True,0
190,Centralized-MILP_priority,None,Interconstellation,Co-observations,Ground,2019-05-15,False,False,True,0
191,Centralized-MILP_priority,None,Interconstellation,Co-observations,Ground,2019-08-10,False,False,True,0
192,Centralized-MILP_priority,None,Interconstellation,Co-observations,Ground,2019-11-10,False,False,True,0
193,Centralized-MILP_priority,None,Interconstellation,Co-observations,Onboard,2019-05-15,False,False,True,0
194,Centralized-MILP_priority,None,Interconstellation,Co-observations,Onboard,2019-08-10,False,False,True,0
195,Centralized-MILP_priority,None,Interconstellation,Co-observations,Onboard,2019-11-10,False,False,True,0
196,Centralized-MILP_priority,None,Interconstellation,Co-observations,Instant,2019-05-15,False,False,True,0
197,Centralized-MILP_priority,None,Interconstellation,Co-observations,Instant,2019-08-10,False,False,True,0
198,Centralized-MILP_priority,None,Interconstellation,Co-observations,Instant,2019-11-10,False,False,True,0
199,Centralized-MILP_priority,None,Interconstellation,Revisits,Ground,2019-05-15,False,False,True,0
200,Centralized-MILP_priority,None,Interconstellation,Revisits,Ground,2019-08-10,False,False,True,0
201,Centralized-MILP_priority,None,Interconstellation,Revisits,Ground,2019-11-10,False,False,True,0
202,Centralized-MILP_priority,None,Interconstellation,Revisits,Onboard,2019-05-15,False,False,True,0
203,Centralized-MILP_priority,None,Interconstellation,Revisits,Onboard,2019-08-10,False,False,True,0
204,Centralized-MILP_priority,None,Interconstellation,Revisits,Onboard,2019-11-10,False,False,True,0
205,Centralized-MILP_priority,None,Interconstellation,Revisits,Instant,2019-05-15,False,False,True,0
206,Centralized-MILP_priority,None,Interconstellation,Revisits,Instant,2019-08-10,False,False,True,0
207,Centralized-MILP_priority,None,Interconstellation,Revisits,Instant,2019-11-10,False,False,True,0
208,Centralized-MILP_priority,None,Interconstellation,Urgency,Ground,2019-05-15,False,False,True,0
