Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization
134,DP,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
135,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
136,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
137,None,Greedy,Intraconstellation,water_quality,Onboard,Walker-Delta,2019-02-15,True
138,Centralized-MILP_priority,None,GS,water_quality,Onboard,Commercial,2019-02-15,True
139,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Oracle,Commercial,2019-02-15,True
140,Centralized-MILP_priority,None,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True
141,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True
142,DP,CBBA,GS,Comprehensive,Oracle,Commercial,2019-02-15,True
143,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-02-15,True
144,Centralized-MILP_priority,None,GS,water_quality,Oracle,Commercial,2019-05-15,True
145,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
146,DP,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
147,None,Greedy,GS,water_quality,Oracle,Walker-Delta,2019-05-15,True
148,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
149,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
150,DP,None,Intraconstellation,water_quality,Oracle,Commercial,2019-05-15,True
151,DP,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
152,Centralized-MILP_priority,None,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
153,DP,Greedy,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
154,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
155,None,CBBA,GS,Comprehensive,Oracle,Commercial,2019-05-15,True
156,DP,Greedy,Interconstellation,water_quality,Oracle,Walker-Delta,2019-05-15,True
157,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True
158,Centralized-MILP_priority,None,GS,water_quality,Onboard,Walker-Delta,2019-05-15,True
159,DP,Greedy,Interconstellation,water_quality,Oracle,Commercial,2019-05-15,True
160,Centralized-MILP_priority,None,Intraconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
161,None,CBBA,GS,Comprehensive,Onboard,Commercial,2019-05-15,True
162,DP,Greedy,Interconstellation,water_quality,Onboard,Walker-Delta,2019-05-15,True
163,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True
164,DP,Greedy,Interconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
165,DP,Greedy,Intraconstellation,Comprehensive,Oracle,Commercial,2019-05-15,True
166,None,Greedy,Interconstellation,Comprehensive,Onboard,Commercial,2019-05-15,True
