Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_centralization,calculateDual
45,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
46,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
47,DP,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
48,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
49,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
50,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
51,DP,None,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
52,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
53,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
54,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
55,DP,None,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
56,DP,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
57,DP,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
58,DP,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
59,DP,None,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
60,DP,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
61,DP,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
62,DP,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
63,DP,None,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
64,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
65,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
66,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
67,None,CBBA,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
68,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
69,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
70,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
71,None,CBBA,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
72,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
73,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
74,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
75,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
76,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
77,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
78,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
79,None,CBBA,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
80,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
81,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
82,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
83,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
84,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,False
85,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,False
86,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,False
87,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,False
88,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-02-15,True,False
89,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,True,False
90,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,True,False
91,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,True,False
92,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-02-15,True,True
93,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,True,True
94,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,True,True
95,None,Greedy,InterconstellationIntraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,True,True
