Trial ID,Strategy,Preplanner,Replanner,Latency,Scenario,Data Processing,Date,in_centralization
84,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2019-02-15,True
85,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2019-05-15,True
86,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2019-08-10,True
87,Centralized,Metaheuristic,None,Medium,water_quality,Onboard,2019-11-10,True
88,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2018-02-15,True
89,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2018-05-15,True
90,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2018-08-10,True
91,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2018-11-10,True
92,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2019-02-15,True
93,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2019-05-15,True
94,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2019-08-10,True
95,Centralized,Metaheuristic,None,Medium,water_quality,Oracle,2019-11-10,True
96,Decentralized,DP,CBBA,High,water_quality,Onboard,2018-02-15,True
97,Decentralized,DP,CBBA,High,water_quality,Onboard,2018-05-15,True
98,Decentralized,DP,CBBA,High,water_quality,Onboard,2018-08-10,True
99,Decentralized,DP,CBBA,High,water_quality,Onboard,2018-11-10,True
100,Decentralized,DP,CBBA,High,water_quality,Onboard,2019-02-15,True
101,Decentralized,DP,CBBA,High,water_quality,Onboard,2019-05-15,True
102,Decentralized,DP,CBBA,High,water_quality,Onboard,2019-08-10,True
103,Decentralized,DP,CBBA,High,water_quality,Onboard,2019-11-10,True
104,Decentralized,DP,CBBA,High,water_quality,Oracle,2018-02-15,True
105,Decentralized,DP,CBBA,High,water_quality,Oracle,2018-05-15,True
106,Decentralized,DP,CBBA,High,water_quality,Oracle,2018-08-10,True
107,Decentralized,DP,CBBA,High,water_quality,Oracle,2018-11-10,True
108,Decentralized,DP,CBBA,High,water_quality,Oracle,2019-02-15,True
109,Decentralized,DP,CBBA,High,water_quality,Oracle,2019-05-15,True
110,Decentralized,DP,CBBA,High,water_quality,Oracle,2019-08-10,True
111,Decentralized,DP,CBBA,High,water_quality,Oracle,2019-11-10,True
112,Decentralized,DP,CBBA,Low,water_quality,Onboard,2018-02-15,True
113,Decentralized,DP,CBBA,Low,water_quality,Onboard,2018-05-15,True
114,Decentralized,DP,CBBA,Low,water_quality,Onboard,2018-08-10,True
115,Decentralized,DP,CBBA,Low,water_quality,Onboard,2018-11-10,True
116,Decentralized,DP,CBBA,Low,water_quality,Onboard,2019-02-15,True
117,Decentralized,DP,CBBA,Low,water_quality,Onboard,2019-05-15,True
118,Decentralized,DP,CBBA,Low,water_quality,Onboard,2019-08-10,True
119,Decentralized,DP,CBBA,Low,water_quality,Onboard,2019-11-10,True
120,Decentralized,DP,CBBA,Low,water_quality,Oracle,2018-02-15,True
121,Decentralized,DP,CBBA,Low,water_quality,Oracle,2018-05-15,True
122,Decentralized,DP,CBBA,Low,water_quality,Oracle,2018-08-10,True
123,Decentralized,DP,CBBA,Low,water_quality,Oracle,2018-11-10,True
124,Decentralized,DP,CBBA,Low,water_quality,Oracle,2019-02-15,True
125,Decentralized,DP,CBBA,Low,water_quality,Oracle,2019-05-15,True
126,Decentralized,DP,CBBA,Low,water_quality,Oracle,2019-08-10,True
127,Decentralized,DP,CBBA,Low,water_quality,Oracle,2019-11-10,True
128,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2018-02-15,True
129,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2018-05-15,True
130,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2018-08-10,True
131,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2018-11-10,True
132,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2019-02-15,True
133,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2019-05-15,True
134,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2019-08-10,True
135,Decentralized,DP,CBBA,Medium,water_quality,Onboard,2019-11-10,True
136,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2018-02-15,True
137,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2018-05-15,True
138,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2018-08-10,True
139,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2018-11-10,True
140,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2019-02-15,True
141,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2019-05-15,True
142,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2019-08-10,True
143,Decentralized,DP,CBBA,Medium,water_quality,Oracle,2019-11-10,True
144,Decentralized,DP,Greedy,High,water_quality,Onboard,2018-02-15,True
145,Decentralized,DP,Greedy,High,water_quality,Onboard,2018-05-15,True
146,Decentralized,DP,Greedy,High,water_quality,Onboard,2018-08-10,True
