Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation,task_id
269,DP,None,24,Medium,500,60.0,1,False,False,True,13
270,DP,Greedy,24,High,500,60.0,1,False,False,True,13
271,None,CBBA,12,High,1000,60.0,1,False,True,True,13
272,None,Greedy,24,High,1000,60.0,0,False,False,True,13
273,DP,None,192,Medium,50,60.0,1,False,False,True,13
274,None,Greedy,192,Low,100,60.0,0,False,False,True,13
275,None,Greedy,96,Low,500,60.0,0,False,False,True,13
276,DP,CBBA,192,High,50,60.0,0,False,False,True,13
277,DP,CBBA,192,Medium,100,60.0,2,False,False,True,13
278,DP,None,192,Low,1000,60.0,2,False,False,True,13
279,DP,CBBA,192,Medium,500,60.0,2,False,False,True,13
280,DP,None,12,High,10,60.0,0,False,False,True,14
281,DP,Greedy,24,Medium,10,60.0,2,False,False,True,14
282,None,CBBA,12,Low,50,60.0,2,True,True,True,14
283,None,Greedy,48,High,10,60.0,2,False,False,True,14
284,None,Greedy,96,Low,10,60.0,2,False,False,True,14
285,DP,Greedy,24,Medium,100,60.0,2,False,False,True,14
286,None,Greedy,12,Medium,500,60.0,0,False,False,True,14
287,DP,CBBA,12,Low,500,60.0,1,False,False,True,14
288,None,CBBA,96,Medium,10,60.0,0,False,True,True,14
289,DP,None,24,Medium,500,60.0,2,False,False,True,14
290,DP,Greedy,24,High,500,60.0,2,False,False,True,14
291,DP,CBBA,12,High,1000,60.0,2,False,False,True,14
292,DP,Greedy,24,High,1000,60.0,0,False,False,True,14
293,DP,None,192,Medium,50,60.0,2,False,False,True,14
294,DP,Greedy,192,Low,100,60.0,0,False,False,True,14
295,DP,Greedy,96,Low,500,60.0,1,False,False,True,14
296,DP,CBBA,192,High,50,60.0,2,False,False,True,14
297,DP,CBBA,192,Medium,100,60.0,1,False,False,True,14
298,DP,None,192,Low,1000,60.0,1,False,False,True,14
299,None,CBBA,192,Medium,500,60.0,2,False,True,True,14
300,DP,Greedy,12,Medium,10,60.0,1,False,False,True,15
301,None,Greedy,24,Medium,10,60.0,1,False,False,True,15
302,DP,None,12,Medium,100,60.0,0,False,False,True,15
303,DP,CBBA,12,Medium,50,60.0,2,False,False,True,15
