Trial ID,Preplanner,Replanner,Num Sats,Latency,Task Arrival Rate,Target Distribution,Scenario,in_stress,in_connectivity,in_validation
211,DP,CBBA,48,Low,10,60.0,0,False,False,True
212,DP,CBBA,48,Medium,10,60.0,0,False,False,True
213,DP,None,48,High,10,60.0,0,False,False,True
214,DP,None,48,Low,10,60.0,0,False,False,True
215,DP,None,48,Medium,10,60.0,0,False,False,True
216,DP,CBBA,48,High,50,60.0,0,False,False,True
217,DP,CBBA,48,Low,50,60.0,0,False,False,True
218,DP,CBBA,48,Medium,50,60.0,0,False,False,True
219,DP,None,48,High,50,60.0,0,False,False,True
220,DP,None,48,Low,50,60.0,0,False,False,True
221,DP,None,48,Medium,50,60.0,0,False,False,True
222,DP,CBBA,48,High,100,60.0,0,False,False,True
223,DP,CBBA,48,Low,100,60.0,0,False,False,True
224,DP,CBBA,48,Medium,100,60.0,0,False,False,True
225,DP,None,48,High,100,60.0,0,False,False,True
226,DP,None,48,Low,100,60.0,0,False,False,True
227,DP,None,48,Medium,100,60.0,0,False,False,True
228,DP,CBBA,48,High,500,60.0,0,False,False,True
229,DP,CBBA,48,Low,500,60.0,0,False,False,True
230,DP,CBBA,48,Medium,500,60.0,0,False,False,True
231,DP,None,48,High,500,60.0,0,False,False,True
232,DP,None,48,Low,500,60.0,0,False,False,True
233,DP,None,48,Medium,500,60.0,0,False,False,True
234,DP,CBBA,48,High,1000,60.0,0,False,False,True
235,DP,CBBA,48,Low,1000,60.0,0,False,False,True
236,DP,CBBA,48,Medium,1000,60.0,0,False,False,True
237,DP,None,48,High,1000,60.0,0,False,False,True
238,DP,None,48,Low,1000,60.0,0,False,False,True
239,DP,None,48,Medium,1000,60.0,0,False,False,True
240,DP,CBBA,96,High,10,60.0,0,False,False,True
241,DP,CBBA,96,Low,10,60.0,0,False,False,True
242,DP,CBBA,96,Medium,10,60.0,0,False,False,True
243,DP,None,96,High,10,60.0,0,False,False,True
244,DP,None,96,Low,10,60.0,0,False,False,True
245,DP,None,96,Medium,10,60.0,0,False,False,True
246,DP,CBBA,96,High,50,60.0,0,False,False,True
247,DP,CBBA,96,Low,50,60.0,0,False,False,True
248,DP,CBBA,96,Medium,50,60.0,0,False,False,True
249,DP,None,96,High,50,60.0,0,False,False,True
250,DP,None,96,Low,50,60.0,0,False,False,True
251,DP,None,96,Medium,50,60.0,0,False,False,True
252,DP,CBBA,96,High,100,60.0,0,False,False,True
253,DP,CBBA,96,Low,100,60.0,0,False,False,True
254,DP,CBBA,96,Medium,100,60.0,0,False,False,True
255,DP,None,96,High,100,60.0,0,False,False,True
256,DP,None,96,Low,100,60.0,0,False,False,True
257,DP,None,96,Medium,100,60.0,0,False,False,True
258,DP,CBBA,96,High,500,60.0,0,False,False,True
259,DP,CBBA,96,Low,500,60.0,0,False,False,True
260,DP,CBBA,96,Medium,500,60.0,0,False,False,True
261,DP,None,96,High,500,60.0,0,False,False,True
262,DP,None,96,Low,500,60.0,0,False,False,True
263,DP,None,96,Medium,500,60.0,0,False,False,True
264,DP,CBBA,96,High,1000,60.0,0,False,False,True
265,DP,CBBA,96,Low,1000,60.0,0,False,False,True
266,DP,CBBA,96,Medium,1000,60.0,0,False,False,True
267,DP,None,96,High,1000,60.0,0,False,False,True
268,DP,None,96,Low,1000,60.0,0,False,False,True
269,DP,None,96,Medium,1000,60.0,0,False,False,True
270,DP,CBBA,192,High,10,60.0,0,False,False,True
271,DP,CBBA,192,Low,10,60.0,0,False,False,True
272,DP,CBBA,192,Medium,10,60.0,0,False,False,True
273,DP,None,192,High,10,60.0,0,False,False,True
274,DP,None,192,Low,10,60.0,0,False,False,True
275,DP,None,192,Medium,10,60.0,0,False,False,True
276,DP,CBBA,192,High,50,60.0,0,False,False,True
277,DP,CBBA,192,Low,50,60.0,0,False,False,True
278,DP,CBBA,192,Medium,50,60.0,0,False,False,True
279,DP,None,192,High,50,60.0,0,False,False,True
280,DP,None,192,Low,50,60.0,0,False,False,True
281,DP,None,192,Medium,50,60.0,0,False,False,True
282,DP,CBBA,192,High,100,60.0,0,False,False,True
283,DP,CBBA,192,Low,100,60.0,0,False,False,True
284,DP,CBBA,192,Medium,100,60.0,0,False,False,True
285,DP,None,192,High,100,60.0,0,False,False,True
286,DP,None,192,Low,100,60.0,0,False,False,True
287,DP,None,192,Medium,100,60.0,0,False,False,True
288,DP,CBBA,192,High,500,60.0,0,False,False,True
289,DP,CBBA,192,Low,500,60.0,0,False,False,True
290,DP,CBBA,192,Medium,500,60.0,0,False,False,True
291,DP,None,192,High,500,60.0,0,False,False,True
292,DP,None,192,Low,500,60.0,0,False,False,True
293,DP,None,192,Medium,500,60.0,0,False,False,True
294,DP,CBBA,192,High,1000,60.0,0,False,False,True
295,DP,CBBA,192,Low,1000,60.0,0,False,False,True
296,DP,CBBA,192,Medium,1000,60.0,0,False,False,True
297,DP,None,192,High,1000,60.0,0,False,False,True
298,DP,None,192,Low,1000,60.0,0,False,False,True
299,DP,None,192,Medium,1000,60.0,0,False,False,True
