Trial ID,Preplanner,Replanner,Connectivity,Scenario,Data Processing,Constellation,Date,in_abridged,in_full,calculateDual
191,None,Greedy,GS,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
192,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
193,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
194,None,Greedy,GS,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
195,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
196,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
197,None,Greedy,GS,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
198,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
199,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
200,None,Greedy,Interconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
201,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
202,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
203,None,Greedy,Interconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
204,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,False
205,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,False
206,None,Greedy,Interconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,False
207,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-05-15,False,True,False
208,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-08-10,False,True,False
209,None,Greedy,Intraconstellation,Comprehensive,Ground,Walker-Delta,2019-11-10,False,True,False
210,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-05-15,False,True,False
211,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-08-10,False,True,False
212,None,Greedy,Intraconstellation,Comprehensive,Onboard,Walker-Delta,2019-11-10,False,True,False
213,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-05-15,False,True,True
214,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-08-10,False,True,True
215,None,Greedy,Intraconstellation,Comprehensive,Oracle,Walker-Delta,2019-11-10,False,True,True
