Trial ID,Preplanner,Replanner,Connectivity,Mission,Data Processing,Date,in_testing,in_rq1,in_rq2,in_yearly,in_full,calcBoundsOpt
174,DP,CBBA,Intraconstellation,Revisits,Ground,2018-02-15,False,False,False,False,True,0
175,DP,CBBA,Intraconstellation,Revisits,Ground,2018-05-15,False,False,False,False,True,0
176,DP,CBBA,Intraconstellation,Revisits,Ground,2018-08-10,False,False,False,False,True,0
177,DP,CBBA,Intraconstellation,Revisits,Ground,2018-11-10,False,False,False,False,True,0
178,DP,CBBA,Intraconstellation,Revisits,Ground,2019-05-15,False,False,False,True,True,0
179,DP,CBBA,Intraconstellation,Revisits,Ground,2019-08-10,False,False,False,True,True,0
180,DP,CBBA,Intraconstellation,Revisits,Ground,2019-11-10,False,False,False,True,True,0
181,DP,CBBA,Intraconstellation,Revisits,Onboard,2018-02-15,False,False,False,False,True,0
182,DP,CBBA,Intraconstellation,Revisits,Onboard,2018-05-15,False,False,False,False,True,0
183,DP,CBBA,Intraconstellation,Revisits,Onboard,2018-08-10,False,False,False,False,True,0
184,DP,CBBA,Intraconstellation,Revisits,Onboard,2018-11-10,False,False,False,False,True,0
185,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-05-15,False,False,False,True,True,0
186,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-08-10,False,False,False,True,True,0
187,DP,CBBA,Intraconstellation,Revisits,Onboard,2019-11-10,False,False,False,True,True,0
188,DP,CBBA,Intraconstellation,Revisits,Instant,2018-02-15,False,False,False,False,True,0
189,DP,CBBA,Intraconstellation,Revisits,Instant,2018-05-15,False,False,False,False,True,0
190,DP,CBBA,Intraconstellation,Revisits,Instant,2018-08-10,False,False,False,False,True,0
191,DP,CBBA,Intraconstellation,Revisits,Instant,2018-11-10,False,False,False,False,True,0
192,DP,CBBA,Intraconstellation,Revisits,Instant,2019-05-15,False,False,False,True,True,0
193,DP,CBBA,Intraconstellation,Revisits,Instant,2019-08-10,False,False,False,True,True,0
194,DP,CBBA,Intraconstellation,Revisits,Instant,2019-11-10,False,False,False,True,True,0
195,DP,CBBA,Intraconstellation,Urgency,Ground,2018-02-15,False,False,False,False,True,0
196,DP,CBBA,Intraconstellation,Urgency,Ground,2018-05-15,False,False,False,False,True,0
197,DP,CBBA,Intraconstellation,Urgency,Ground,2018-08-10,False,False,False,False,True,0
198,DP,CBBA,Intraconstellation,Urgency,Ground,2018-11-10,False,False,False,False,True,0
199,DP,CBBA,Intraconstellation,Urgency,Ground,2019-05-15,False,False,False,True,True,0
200,DP,CBBA,Intraconstellation,Urgency,Ground,2019-08-10,False,False,False,True,True,0
201,DP,CBBA,Intraconstellation,Urgency,Ground,2019-11-10,False,False,False,True,True,0
202,DP,CBBA,Intraconstellation,Urgency,Onboard,2018-02-15,False,False,False,False,True,0
203,DP,CBBA,Intraconstellation,Urgency,Onboard,2018-05-15,False,False,False,False,True,0
204,DP,CBBA,Intraconstellation,Urgency,Onboard,2018-08-10,False,False,False,False,True,0
205,DP,CBBA,Intraconstellation,Urgency,Onboard,2018-11-10,False,False,False,False,True,0
206,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-05-15,False,False,False,True,True,0
207,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-08-10,False,False,False,True,True,0
208,DP,CBBA,Intraconstellation,Urgency,Onboard,2019-11-10,False,False,False,True,True,0
209,DP,CBBA,Intraconstellation,Urgency,Instant,2018-02-15,False,False,False,False,True,0
210,DP,CBBA,Intraconstellation,Urgency,Instant,2018-05-15,False,False,False,False,True,0
211,DP,CBBA,Intraconstellation,Urgency,Instant,2018-08-10,False,False,False,False,True,0
212,DP,CBBA,Intraconstellation,Urgency,Instant,2018-11-10,False,False,False,False,True,0
213,DP,CBBA,Intraconstellation,Urgency,Instant,2019-05-15,False,False,False,True,True,0
214,DP,CBBA,Intraconstellation,Urgency,Instant,2019-08-10,False,False,False,True,True,0
215,DP,CBBA,Intraconstellation,Urgency,Instant,2019-11-10,False,False,False,True,True,0
216,None,CBBA,GS,Co-observations,Instant,2019-02-15,True,False,True,True,True,0
217,None,CBBA,GS,Revisits,Instant,2019-02-15,True,False,True,True,True,0
218,None,CBBA,GS,Urgency,Instant,2019-02-15,True,False,True,True,True,0
219,None,CBBA,Intraconstellation,Co-observations,Ground,2019-02-15,False,True,True,True,True,0
220,None,CBBA,Intraconstellation,Co-observations,Onboard,2019-02-15,False,True,True,True,True,0
221,None,CBBA,Intraconstellation,Co-observations,Instant,2019-02-15,False,True,True,True,True,0
222,None,CBBA,Intraconstellation,Revisits,Ground,2019-02-15,False,True,True,True,True,0
223,None,CBBA,Intraconstellation,Revisits,Onboard,2019-02-15,False,True,True,True,True,0
224,None,CBBA,Intraconstellation,Revisits,Instant,2019-02-15,False,True,True,True,True,0
225,None,CBBA,Intraconstellation,Urgency,Ground,2019-02-15,False,True,True,True,True,0
226,None,CBBA,Intraconstellation,Urgency,Onboard,2019-02-15,False,True,True,True,True,0
227,None,CBBA,Intraconstellation,Urgency,Instant,2019-02-15,False,True,True,True,True,0
228,None,CBBA,GS,Co-observations,Ground,2019-02-15,False,False,True,True,True,0
